Riding Name, Riding ID, Mp Name, MP ID, Party
Abbotsford,898,Fast, Ed  (Hon.),35904,Conservative
Abitibi—Baie-James—Nunavik—Eeyou,637,Saganash, Romeo,71482,NDP
Abitibi—Témiscamingue,638,Moore, Christine,232,NDP
Acadie—Bathurst,627,Cormier, Serge,88350,Liberal
Ahuntsic-Cartierville,639,Joly, Mélanie  (Hon.),88384,Liberal
Ajax,715,Holland, Mark,25508,Liberal
Alfred-Pellan,640,Iacono, Angelo,71337,Liberal
Algoma—Manitoulin—Kapuskasing,716,Hughes, Carol,31289,NDP
Argenteuil—La Petite-Nation,641,Lauzon, Stéphane,88394,Liberal
Aurora—Oak Ridges—Richmond Hill,717,Alleslev, Leona,88671,Liberal
Avalon,605,McDonald, Ken,88283,Liberal
Avignon—La Mitis—Matane—Matapédia,642,Massé, Rémi,88397,Liberal
Banff—Airdrie,864,Richards, Blake,59235,Conservative
Barrie—Innisfil,718,Brassard, John,88674,Conservative
Barrie—Springwater—Oro-Medonte,719,Nuttall, Alexander,88679,Conservative
Battle River—Crowfoot,865,Sorenson, Kevin  (Hon.),1832,Conservative
Battlefords—Lloydminster,850,Ritz, Gerry  (Hon.),1209,Conservative
Bay of Quinte,720,Ellis, Neil,88683,Liberal
Beaches—East York,721,Erskine-Smith, Nathaniel,88687,Liberal
Beauce,643,Bernier, Maxime  (Hon.),35309,Conservative
Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,656,Boucher, Sylvie,35320,Conservative
Beauport—Limoilou,644,Clarke, Alupa,88404,Conservative
Beauséjour,628,LeBlanc, Dominic  (Hon.),1813,Liberal
Bécancour—Nicolet—Saurel,645,Plamondon, Louis,413,Bloc Québécois
Bellechasse—Les Etchemins—Lévis,646,Blaney, Steven  (Hon.),35389,Conservative
Beloeil—Chambly,647,Dubé, Matthew,71368,NDP
Berthier—Maskinongé,648,Brosseau, Ruth Ellen,71357,NDP
Bonavista—Burin—Trinity,606,Foote, Judy  (Hon.),58519,Liberal
Bourassa,651,Dubourg, Emmanuel,84660,Liberal
Bow River,866,Shields, Martin,89109,Conservative
Brampton Centre,722,Sangha, Ramesh,88692,Liberal
Brampton East,723,Grewal, Raj,88694,Liberal
